GameID,Date,PitchNo,PitchofPA,Balls,Strikes,PitcherId,BatterId,PitcherThrows,BatterSide,TaggedPitchType,PitchCall,RelSpeed,PlateLocSide,PlateLocHeight
G1,2026-03-01,1,1,0,0,1000036206,2001,R,L,Fastball,CalledStrike,93.1,-0.2,2.7
G1,2026-03-01,2,2,0,1,1000036206,2001,R,L,Slider,SwingingStrike,84.3,0.4,2.1
G1,2026-03-01,3,3,0,2,1000036206,2001,R,L,Slider,InPlay,83.9,0.2,2.5
G1,2026-03-01,4,1,0,0,1000036206,2002,R,R,Fastball,CalledStrike,94.0,-0.3,2.9
G1,2026-03-01,5,2,0,1,1000036206,2002,R,R,Fastball,FoulBall,93.4,0.1,2.8
G1,2026-03-01,6,3,0,2,1000036206,2002,R,R,Slider,SwingingStrike,85.0,0.5,2.0
G1,2026-03-01,7,1,0,0,1000036206,2003,R,L,ChangeUp,BallCalled,86.1,-0.7,1.8
G1,2026-03-01,8,2,1,0,1000036206,2003,R,L,Fastball,CalledStrike,92.8,-0.1,2.6
G1,2026-03-01,9,3,1,1,1000036206,2003,R,L,Slider,BallCalled,84.6,0.8,1.6
G1,2026-03-01,10,4,2,1,1000036206,2003,R,L,Fastball,InPlay,93.0,0.0,2.4
G2,2026-03-08,1,1,0,0,1000036206,2004,R,R,Fastball,CalledStrike,92.5,-0.4,2.7
G2,2026-03-08,2,2,0,1,1000036206,2004,R,R,Slider,BallCalled,84.1,0.9,1.7
G2,2026-03-08,3,3,1,1,1000036206,2004,R,R,Fastball,FoulBall,93.2,0.2,3.0
G2,2026-03-08,4,4,1,2,1000036206,2004,R,R,Slider,SwingingStrike,84.8,0.3,2.2
G2,2026-03-08,5,1,0,0,1000036206,2005,R,L,Fastball,CalledStrike,93.7,-0.2,2.8
G2,2026-03-08,6,2,0,1,1000036206,2005,R,L,ChangeUp,SwingingStrike,85.6,-0.5,1.9
G2,2026-03-08,7,3,0,2,1000036206,2005,R,L,Slider,BallCalled,84.4,0.7,1.5
G2,2026-03-08,8,4,1,2,1000036206,2005,R,L,Slider,SwingingStrike,84.7,0.3,2.0
G2,2026-03-08,9,1,0,0,1000099999,2001,L,R,Fastball,BallCalled,90.2,0.8,2.9
G2,2026-03-08,10,2,1,0,1000099999,2001,L,R,Slider,CalledStrike,80.4,-0.2,2.5

