PitchNo,Date,PAofInning,PitchofPA,PitcherId,PitcherThrows,PitcherTeam,BatterId,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,Count,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,EffectiveVelo,MaxHeight,SpeedDrop,ContactPositionX,ContactPositionY,ContactPositionZ,CatcherId,CatcherThrows,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,System
1,2/8/2023,1,1,1000097856,Left,T_A,691273,Right,T_B,1,Top,0,0,0,0-0,Fastball,Sinker,FoulBall,Undefined,Undefined,,Undefined,0,0,88.36587,0.022601,4.826989,2050.393122,107.329269,9:30,4.12424,-3.57828,5.71519,-29.69222,6.96378,-18.08497,1.67101,-0.57803,79.65981,-5.497948,1.606051,0.435757,,,,,,,,,,,,10.76497,3.89469,3.18531,50,4.10785,-10.01869,-127.79552,-0.9782,17.56498,29.61673,-25.81918,86.49881,,8.70606,,,,1000103236,Right,54.78378,-128.89939,14.80836,4.12638,-0.01586,-12.90959,3.57093,-10.67338,8.78249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
2,2/8/2023,1,2,1000097856,Left,T_A,691273,Right,T_B,1,Top,0,0,1,0-1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,79.65849,2.258336,1.249165,1973.302397,63.92787,8:15,3.92303,-3.38346,6.17455,-46.21369,-3.11512,-8.79422,2.15915,-2.96246,73.71193,-6.270696,-0.337777,0.472501,,,,,,,,,,,,4.85559,-1.78492,3.29333,50,4.07048,-2.20872,-115.85532,3.13863,6.66959,19.49386,-34.62578,79.77218,,5.94655,,,,1000103236,Right,54.32724,-116.58115,9.74693,3.92962,4.42787,-17.31289,3.38019,-2.45706,3.33479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
3,2/8/2023,1,3,1000097856,Left,T_A,691273,Right,T_B,1,Top,0,1,1,1-1,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,87.6703,1.660018,3.203333,2180.759638,120.42049,10:00,4.05619,-3.48618,5.90757,-27.41962,8.96028,-13.32709,3.31491,-1.62031,79.95685,-3.455599,0.81647,0.434112,,,,,,,,,,,,7.65961,4.48233,3.23619,50,4.17408,-6.55357,-127.15383,2.78321,12.55463,25.79145,-24.82722,86.82647,,7.71344,,,,1000103236,Right,54.59059,-128.08158,12.89573,4.0579,3.67627,-12.41361,3.48005,-7.00518,6.27731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
4,2/8/2023,1,4,1000097856,Left,T_A,691273,Right,T_B,1,Top,0,2,1,2-1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,87.29584,1.33221,4.138973,2133.802817,126.055578,10:15,4.06452,-3.48624,5.80843,-27.4484,9.15678,-11.12591,3.0195,-0.55769,80.24921,-3.758,2.153588,0.435454,,,,,,,,,,,,6.71221,4.66571,3.15293,50,4.15764,-8.69783,-126.58973,2.03047,10.99573,23.53367,-24.53083,86.55886,,7.04663,,,,1000103236,Right,54.69125,-127.45887,11.76683,4.06592,2.93644,-12.26541,3.48166,-9.10392,5.49786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
5,2/8/2023,1,5,1000097856,Left,T_A,691273,Right,T_B,1,Top,0,2,2,2-2,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,88.85293,0.904204,5.60622,2261.32875,126.288524,10:15,4.15589,-3.47059,5.76103,-22.81844,12.70284,-15.88001,3.10008,0.44088,81.55267,-3.34666,2.784379,0.428959,,,,,,,,,,,,9.45953,6.55992,3.01443,50,4.21724,-11.94114,-128.58833,1.28576,15.9995,24.12411,-21.07882,87.86956,,7.30025,,,,1000103236,Right,54.73874,-129.4743,12.06205,4.1558,2.05989,-10.53941,3.46376,-12.52873,7.99975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
6,2/8/2023,1,6,1000097856,Left,T_A,691273,Right,T_B,1,Top,0,3,2,3-2,Fastball,Sinker,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,88.83291,0.901735,4.98141,2183.934824,129.64934,10:15,4.17423,-3.45199,5.71397,-25.70119,10.26638,-10.9667,2.87576,0.28648,80.71048,-3.88497,3.031847,0.431645,78.93663,41.679133,33.71919,4268.654112,81.39827,76.17565,73.98831,242.08858,222.28454,49.810322,4.745343,7.02189,5.30233,3.04126,50,4.23411,-10.73233,-128.51793,1.15815,11.70812,27.39718,-23.33307,87.32274,79.98193,8.12244,1.53355,2.81699,-0.34968,1000103236,Right,54.78482,-129.53394,13.69859,4.17512,2.02344,-11.66653,3.44731,-11.16652,5.85406,218.50983,1.55729,71.36993,-19.20525,1.70674,2.64562,-1.71005,0.47258,-0.06239,0.0032,2.81108,77.08703,-22.75171,2.15048,-0.12384,-0.17492,0.09255,-0.01784,0.0012,-0.35466,48.09403,-1.36955,-0.69564,0.2914,-0.11196,0.04018,-0.00761,0.00053,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,v3
7,2/8/2023,1,7,1000097856,Left,T_A,691273,Right,T_B,1,Top,0,3,2,3-2,Fastball,Sinker,StrikeCalled,Strikeout,Undefined,,Undefined,0,0,90.24277,-0.080295,5.090535,2137.24147,109.34827,9:45,4.04726,-3.3389,5.91804,-27.92895,6.50087,-15.40643,1.64504,0.11386,82.4457,-5.263102,2.338694,0.422317,,,,,,,,,,,,9.27583,3.68484,2.93886,50,4.02492,-10.98161,-130.66697,-1.15046,16.05963,27.1696,-25.79432,89.25147,,7.79707,,,,1000103236,Right,54.58155,-131.61617,13.5848,4.04937,-0.24931,-12.89716,3.33232,-11.54266,8.02981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.49852,,,0.843066,,,,4.52646,4.64324,-1.64795,71.29338,3.54047,-53.48832,4.55605,83.64056,-5.29541,4.67772,9.98296,-13.41834,-1.75114,-70.04755,10.23147,High,High,High,,,High,High,High,v3
8,2/8/2023,2,1,1000097856,Left,T_A,1000051968,Left,T_B,1,Top,1,0,0,0-0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,87.36607,1.097311,5.342089,1980.993139,102.950693,9:30,4.08665,-3.47655,5.90003,-32.33706,4.34484,-14.02607,2.41515,0.32832,80.01271,-4.876691,2.840847,0.435911,,,,,,,,,,,,8.57965,2.27969,3.05381,50,4.1567,-11.24525,-126.46776,1.32626,13.96376,24.60215,-28.46377,86.46829,,7.35336,,,,1000103236,Right,54.59999,-127.35946,12.30107,4.08993,2.35793,-14.23189,3.47056,-11.75136,6.98188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
9,2/8/2023,2,2,1000097856,Left,T_A,1000051968,Left,T_B,1,Top,1,0,1,0-1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,89.37395,0.826449,5.480319,2109.403996,108.214643,9:30,4.1019,-3.36779,6.05188,-28.26702,6.4752,-16.54552,2.51491,0.34203,82.04259,-4.420837,2.521681,0.424229,,,,,,,,,,,,9.91453,3.43882,2.94919,50,4.15117,-11.73649,-129.43421,0.9276,16.95807,24.92938,-26.29218,88.84931,,7.33136,,,,1000103236,Right,54.44891,-130.28827,12.46469,4.10396,1.82834,-13.14609,3.36122,-12.31746,8.47904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
10,2/8/2023,2,3,1000097856,Left,T_A,1000051968,Left,T_B,1,Top,1,0,2,0-2,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,77.79038,0.483843,2.225759,2253.870112,263.751886,2:45,4.08185,-3.58875,5.65709,-43.24065,3.18024,16.71552,0.93004,-0.11905,71.92032,-7.424848,5.2081,0.490375,,,,,,,,,,,,-7.95914,1.85764,3.38922,50,4.09516,-5.0072,-113.00104,-0.41806,-10.32005,20.0526,-29.76538,76.86454,,5.87006,,,,1000103236,Right,54.84439,-113.85746,10.0263,4.08587,0.85317,-14.88269,3.59365,-4.56645,-5.16002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
